auto,Basics,,,,,,,,,,to delete,Elims,,,,Deaths,,,,,,,,,,,,,,,,
auto?,# Players,# Cycles,# Posts,Fundamentals,Winner,Complexity,Role Madness,Anon?,Mech,Dist,Broken,# Elims,Elim %,# Xed,# Vig'd,# Deaths,# Survivors,# E killed,# M killed,# N killed,# V killed,# FF,# Xed,# I killed,# pinchhitters,# Spectators,GM(s),IM,Start/End date?,Title/Link,Sanderson? ,World
MR22,20,9,628,,D,Standard,FALSE,FALSE,,,,5,25.0%,4,0,15,5,7,0,0,0,0,8,0,,2,,,,My Little Perfidy,FALSE,My Little Pony
LG34,21,9,848,,V,Standard,FALSE,FALSE,,,,4,19.0%,3,1,16,5,5,0,1,1,0,9,0,,0,,,,Allomancer,TRUE,Scadrial
QF24,17,6,433,V/E,V,Basic,FALSE,FALSE,,,,3,17.6%,2,1,10,7,3,0,0,1,1,5,0,,1,,,,Eliminating Elysium,TRUE,Other Sanderson
LG35,28,8,1742,V/E,E,Semi Standard,FALSE,FALSE,,,Broken Mechanics,4,14.3%,1,0,15,13,6,0,0,0,1,8,0,,1,,,,L35 Miserables,TRUE,Les Miserables
MR23,22,9,735,FAC,V,Semi Standard,FALSE,FALSE,,,Broken Mechanics,0,0.0%,0,0,14,8,0,0,8,0,0,6,0,,0,,,,A Desperate Alliance,TRUE,Roshar
LG36,21,8,685,,V,Complex,FALSE,FALSE,,,,4,19.0%,1,2,12,9,4,0,2,2,0,4,0,,1,,,,State of Being,TRUE,Cross-Cosmere
QF25,24,7,835,V/E,E,Basic,FALSE,FALSE,,,Broken Distribution,2,8.3%,1,0,20,4,13,0,0,0,0,6,1,,7,,,,A Sundered Sky,TRUE,Roshar
LG37,34,5,1108,U,Misc,Complex,FALSE,FALSE,,,,6,17.6%,0,0,0,1,0,0,0,0,0,0,0,,7,,,,Coyote Stories,FALSE,Gunnerkrigg Court
MR24,26,8,883,,Misc,,FALSE,FALSE,,,,8,30.8%,4,0,17,8,6,1,2,0,0,8,0,,5,,,,Baleful Eye,TRUE,Reckoners
LG38,32,5,780,U,None,Complex,FALSE,FALSE,,,Very Broken Mechanics,0,0.0%,0,0,4,27,0,0,3,0,0,1,0,,2,,,,In the Beginning,TRUE,Cross-Cosmere
QF26,31,16,522,U,V,Basic,FALSE,FALSE,,,Broken Mechanics,0,0.0%,0,0,15,16,0,0,9,0,0,6,0,,0,,,,Stop the Madness,TRUE,Threnody
QF27,20,6,336,V/E,E,Standard,FALSE,FALSE,,,,4,20.0%,0,0,13,7,4,0,0,0,0,6,3,,1,,,,Lord of the Lynches: Terror in Minas Tirith,FALSE,Lord of the Rings
LG39,25,10,562,CON,E,Standard,FALSE,FALSE,,,,4,16.0%,2,0,14,10,7,0,0,0,0,7,0,,1,,,,Blood Money,TRUE,Scadrial
MR25,20,9,433,,E,Standard,FALSE,FALSE,,,,4,20.0%,2,1,18,2,7,0,0,1,1,7,2,,10,,,,Lowborn Intrigue,TRUE,Roshar
LG40,27,8,550,FAC,F,,FALSE,FALSE,,,,5,18.5%,3,2,10,4,0,0,0,2,0,8,0,,10,,,,Ashen Rebellion,TRUE,Scadrial
QF28,23,7,233,,Misc,Basic,FALSE,FALSE,,,,3,13.0%,0,0,12,11,6,0,0,0,0,6,0,,13,,,,Minimalist Elimination,,
MR26,16,6,351,,V,Standard,FALSE,FALSE,,,,3,18.8%,1,2,10,6,3,0,0,2,0,5,0,,13,,,,Sands of Lossand,TRUE,Taldain
LG41,17,5,410,,F,Semi Standard,FALSE,FALSE,,,,3,17.6%,2,0,14,2,4,4,0,0,0,6,0,,16,,,,INSTABILITY,TRUE,Scadrial
AG4,37,12,1054,V/E,E,Standard,FALSE,TRUE,,,Balanced,5,13.5%,3,0,33,4,13,0,0,0,3,10,7,,9,,,,A Fresh Start,TRUE,Roshar
QF29,16,4,175,,E,Standard,FALSE,FALSE,,,,3,18.8%,0,0,13,3,6,0,0,0,0,3,4,,20,,,,Passionate Realism,TRUE,
MR27,17,6,388,,V,Basic,FALSE,FALSE,,,,4,23.5%,3,1,13,4,5,0,0,1,0,6,1,,18,,,,Quarantine,TRUE,Rithmatist
LG42,20,8,352,U,FFA,Faction/FFA,FALSE,FALSE,,,Balanced,0,0.0%,0,0,17,3,0,0,14,0,0,3,0,,14,,,,Master of the House,TRUE,Scadrial
QF30,17,8,520,,E,Basic,FALSE,FALSE,,,,4,23.5%,2,0,14,3,3,0,0,0,0,8,3,,15,,,,Manywar,TRUE,Nalthis
LG43,25,5,1385,EE,Misc,Complex,FALSE,FALSE,,,,6,24.0%,0,1,5,17,1,1,0,1,0,2,0,,8,,,,Under the Banner of Adonalsium,TRUE,Cross-Cosmere
MR28,19,6,443,,F,,FALSE,FALSE,,,,7,36.8%,1,0,9,3,5,0,0,0,0,4,0,,12,,,,Knives in the Dark,TRUE,Roshar
